id,name,overview,number_of_seasons,number_of_episodes,first_air_date,last_air_date,vote_count,vote_average,popularity,backdrop_path,watchlisted_rating
1,Game of Thrones,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",8,73,2011-04-17,2019-05-19,21857,8.442,1083.917,/2OMB0ynKlyIenMJWI2Dy9IWT4c.jpg,10.0
2,Money Heist,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.",3,41,2017-05-02,2021-12-03,17836,8.257,96.354,/gFZriCkpJYsApPZEF3jhxL4yLzG.jpg,7.981487690491739
3,Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",4,34,2016-07-15,2022-07-01,16161,8.624,185.711,/2MaumbgBlW1NoPo3ZJO38A6v7OS.jpg,7.553375548027352
4,The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,11,NaN,2010-10-31,2022-11-20,15432,8.121,489.746,/x4salpjB11umlUOltfNvSSrjSXm.jpg,6.791971033270826
5,Lucifer,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",6,93,2016-01-25,2021-09-10,13870,8.486,416.668,/aDBRtunw49UF4XmqfyNuD9nlYIu.jpg,6.378867605948107
6,Riverdale,"Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.",7,137,2017-01-26,2023-08-23,13180,8.479,143.75,/soQgquPkLmUu9eKLJJzuA4KZDyi.jpg,6.056533802554579
7,Squid Game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.",2,9,2021-09-17,2021-09-17,13053,7.831,115.587,/2meX1nMdScFOoV4370rqHWKmXhY.jpg,5.539769079230805
8,Breaking Bad,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live, he becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",5,62,2008-01-20,2013-09-29,12398,8.89,247.632,/tsRy63Mu5cu8etL1X7ZLyf7UP1M.jpg,5.973343542918918
9,The Good Doctor,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",NaN,116,2021-01-15,2023-05-01,11768,8.503,681.614,/xXRsKNJHTOGrs5wfYAxkbM2RiyT.jpg,5.422991687141497
10,WandaVision,Wanda Maximoff and Vision—two super-powered beings living idealized suburban lives—begin to suspect that everything is not as it seems.,NaN,9,2014-10-07,2021-03-05,11308,8.3,62.893,/lOr9NKxh4vMweufMOUDJjJhCRHW.jpg,NaN
11,The Flash,"""After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only """"meta-human"""" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.""",9,NaN,2007-09-24,2023-05-24,10642,7.797,319.767,/gNPWlhUXhyWiHv9qxr57tvT0WwS.jpg,4.496917174921216
12,The Big Bang Theory,Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.,12,NaN,2021-06-09,2019-05-16,10322,7.879,344.121,/7RySzFeK3LPVMXcPtqfZnl6u4p1.jpg,4.407568343074507
13,Loki,After stealing the,2,12,2005-03-27,2021-07-14,10136,8.2,276.759,/bZGAX8oMDm3Mo5i0ZPKh9G2OcaO.jpg,4.504478871446249
14,Grey's Anatomy,,NaN,NaN,2019-11-12,2023-05-18,9512,8.253,1647.218,/ds1n5P0Y92cTh6UpbcA89hxM96a.jpg,4.254492737392782
15,The Mandalorian,,3,24,1989-12-17,2023-04-19,9353,8.5,154.48,/9zcbqSxdsRMZWHYtyCd1nXPr2xq.jpg,4.308578004016263
16,The Simpsons,,NaN,NaN,2019-06-16,2023-10-01,9136,7.999,439.488,/pxeqQX4qFQ0cVxPt5SWZENV5BH3.jpg,3.9605535309701945
17,Euphoria,,2,16,2019-02-15,2022-02-27,9008,8.353,197.456,/oKt4J3TFjWirVwBqoHyIvv5IImd.jpg,4.077884856377897
18,The Umbrella Academy,,4,32,2013-09-12,2022-06-22,NaN,8.604,51.859,/7sqFEDDmK1hG5m92upolcfQxy7R.jpg,4.145864576424409
19,Peaky Blinders,,6,36,2018-10-05,2022-04-03,8836,8.546,344.477,/wiE9doxiLwq3WCGamDIOb2PqBqc.jpg,4.0924435311834
20,Elite,,7,49,2019-07-25,2022-11-18,8817,8.071,100.711,/tl0mg7lOnS6tP8ngH0QwgMLQdpV.jpg,3.856668298713233
21,The Boys,,4,32,2013-12-02,2022-07-07,8721,8.474,256.856,/thLAoL6VeZGmCyDpCOeoxLvA8yS.jpg,4.0051505555640645
22,Rick and Morty,,7,71,2009-09-10,2022-12-11,8595,8.7,429.047,/9In9QgVJx7PlFOAgVHCKKSbo605.jpg,4.052557947652179
23,The Vampire Diaries,,8,NaN,2021-03-19,2017-03-10,8356,8.337,633.313,/k7T9xRyzP41wBVNyNeLmh8Ch7gD.jpg,3.775481379759937
24,The Falcon and the Winter Soldier,,1,6,2007-02-15,2021-04-23,8008,7.693,35.521,/aTjbqMONy77fHJrIYu14g1F0d5h.jpg,3.33874996765877
25,Naruto Shippuden,,NaN,NaN,2014-03-19,2017-03-23,7712,8.6,128.823,/z0YhJvomqedHF85bplUJEotkN5l.jpg,3.594426207080099
26,The 100,,7,100,1994-09-22,2020-09-30,7666,7.916,127.224,/hTExot1sfn7dHZjGrk0Aiwpntxt.jpg,3.288809364420238
27,Wednesday,,2,8,2005-09-13,2022-11-23,7506,8.548,164.275,/iHSwvRVsRyxpX7FE7GbviaDvgGZ.jpg,3.4772600698882727
28,Friends,,10,NaN,2019-01-11,2004-05-06,7192,8.444,214.333,/l0qVZIpXtIo7km9u5Yqh0nKPOr5.jpg,3.291258572376887
29,Supernatural,,15,NaN,2013-03-03,2020-11-19,6909,8.304,439.934,/nVRyd8hlg0ZLxBn9RaI7mUMQLnz.jpg,3.1093286825696747
30,Sex Education,,4,32,2017-12-01,2023-09-21,6647,8.304,1008.977,/5SEEBS5qXgL5rgivTiAROy1Qt2q.jpg,2.9914181144942287
31,Vikings,,6,89,2004-11-16,2020-12-30,6385,NaN,294.196,/lHe8iwM4Cdm6RSEiara4PN8ZcBd.jpg,2.798071052546036
32,Dark,,3,26,2018-05-02,2020-06-27,6049,8.432,86.861,/75HgaphatW0PDI3XIHQWZUpbhn6.jpg,2.764256135948254
33,House,,8,NaN,2019-04-06,2012-05-21,5799,8.595,239.575,/r0Q6eeN9L1ORL9QsV0Sg8ZV3vnv.jpg,2.701239487176436
34,Cobra Kai,,6,50,2012-10-10,2022-09-09,5734,8.22,118.256,/zymbuoBoL1i94xAOzVJF6IuWLfD.jpg,2.5544276473826013
35,Demon Slayer: Kimetsu no Yaiba,,5,55,2013-04-07,2023-06-18,5618,8.7,82.89,/nTvM4mhqNlHIvUkI1gVnW6XP7GG.jpg,2.648897097139028
36,Arrow,,8,NaN,2019-05-06,2020-01-28,5569,6.793,174.419,/rqbCbjB19amtOtFQbb3K2lgm2zv.jpg,2.050231644497357
37,Attack on Titan,,4,87,2011-10-05,2022-04-04,5492,8.657,55.416,/20eIP9o5ebArmu2HxJutaBjhLf4.jpg,2.5766892524698863
38,Chernobyl,,1,5,2002-10-03,2019-06-03,5376,8.649,67.445,/a4doyPOabvQor0RGkWdhVENAR3G.jpg,2.5199345269352555
39,American Horror Story,,NaN,NaN,2019-12-20,2023-09-27,5198,8.145,254.735,/9fwJ5ZOF14XjxDsIPDvEvnIo9r0.jpg,2.2945179721689724
40,Naruto,,4,NaN,2004-10-04,2007-02-08,5189,8.36,135.573,/foGkPxpw9h8zln81j63mix5B7m8.jpg,2.351007681176164
41,The Witcher,,3,24,2016-10-02,2023-07-27,5159,8.132,240.462,/coHgKyLRwhbMktEWr6dwSYUg2BH.jpg,2.2736677291282223
42,Rebelde,,3,36,2019-03-20,2006-06-09,5017,8.433,92.914,/rX5hvSRB2k4YoIvRg6Zky52rWk0.jpg,2.29292738524386
43,Westworld,,4,8,2010-07-25,2022-08-14,4948,8.075,66.988,/1yhQGQH7pfKdIY2xJSYNdp8ReD6.jpg,2.1653909724878484
